verb,verbs,nouns
leverage,"['leverage', 'leveraging']","['luck', 'slots', 'forces', 'interfaces', 'popularity', 'fundraising', 'mechanisms', 'will', 'amount', 'speed']"
feed,"['feed', 'feeding']","['relatives', 'cell', 'hamsters', 'addiction', 'hens', 'population', 'family', 'diet', 'famililies', 'posts', 'consumers', 'animals', 'humans', 'uncertainties', 'turtles', 'rats', 'cattle', 'baby', 'sister', 'people', 'nations', 'propagada', 'anything', 'man', 'back', 'times', 'body', 'organisms', 'guests', 'lettuce', 'turtle', 'today', 'porridge', 'child', 'spiral', 'whispers', 'worm', 'host']"
feel,"['feel', 'feels']","['christmas', 'area', 'b', 'pang', 'pulse', '@mazii', 'monks', 'kuppati', 'worldlings', 'need', 'today', 'people', 'power', 'animal', 'extremists', 'women', 'way', 'lump', 'factor', 'pain', 'sense', 'adults', 'tendons', 'anyone', 'sex', 'anything', 'lot', 'family', 'witnesses', 'defence', 'joy', 'asking', 'discussion', 'things', 'dinner', 'players', 'thrill', 'affinity', 'warmth', 'lips', 'pressure', 'tension', 'netizens', 'impulse', 'men', 'politicians', 'breeze', 'fans', 'something', 'passion', 'liberals', 'colonists', 'shimmer', 'brushes', 'drivers', 'young', 'everyone', 'shame', 'hoppin', 'children', 'connection', 'swirling', 'groggy', 'tonight', 'pangs', 'depress', 'cruelty', 'wetness', 'prickle', 'fingers', 'lines', 'strain', 'weight', 'money', 'time', 'point', 'souls', 'hell', 'patient', 'soreness', 'awkwardness', 'mal', 'frustration', 'journalists', 'employees', 'visitors', 'atmosphere', 'insides', 'm', 'lots', 'stories', 'outrage', 'others', 'cfos', 'bunch', 'lemme', 'wife', 'passenger', 'presence', 'customers', 'workers', 'civilization', 'police', 'temps', 'whom', 'tad', 'effect', 'weeks', 'hashtagging', 'percent', 'millions', 'retirees', 'drowsiness', 'punk', 'edge', 'concentrate', 'difference', 'stylists', 'hair', 'clients', 'patients', 'mps', 'kind', 'panel', 'urge', 'spirit', 'businesses', 'twinge', 'arenas', 'relief', 'fact', 'emotion', 'crosser', 'individuals', 'infant', 'heat', 'person', 'employer', 'meditator', 'read', 'slot', 'year', 'rider', 'skint', 'villagers', 'tty', 'one', 'team', 'producer', 'filmmaking', 'image', 'faith', 'favor', 'majority', 'vendor', '%', 'film', 'characters', 'life', 'heart', 'home', 'fall', 'nothing', 'acting', 'script', 'woman', 'dominance', 'hit', 'improvisation']"
relate,"['relate', 'relates', 'related']","['historians', 'discussion', 'scholars', 'supporters', 'hadith', 'anything', 'merits', 'book', 'b', 'story', 'lot', 'majority', 'charges', 'set', 'incident', 'information', 'history', 'pieces', 'proposition', 'results', 'experience', 'petitions', 'men', 'differences', 'events', 'page', 'contradictions', 'scholar', 'instances', 'anhu', 'lull', 'example', 'numbers', 'intervention', 'secret', 'travels', 'problem', 'complaint', 'states', 'event', 'news', 'praises', 'person', 'rights', 'essence', 'risk', 'dose', 'group', 'football', 'creditworthiness', 'show', 'oil', 'currency', 'performance', 'whole', 'generation', 'debutants', 'water', 'tech', 'transaction', 'protocol', 'health', 'caffeine', 'chestnut', 'knowledge', 'derivative', 'speed', 'resolution', 'industry', 'warming', 'travel', 'music', 'photo', 'holiday', 'drug', 'work', 'asthma', 'time', 'bioenergy', 'materials', 'coding', 'finance', 'cdm', 'everyone', 'way', 'technology', 'brain', 'successes', 'war', 'gallery', 'housing', 'pregnancy', 'wildlife', 'browse', 'length']"
brave,"['brave', 'braving']","['wrath', 'queues', 'weather', 'conditions']"
interact,"['interact', 'interacts']","['users', 'audiences', 'friends', 'people', 'privilege', 'child']"
swarm,"['swarm', 'swarmed']","['wall', 'son', 'troops']"
double,"['double', 'doubles', 'doubled']","['lead', 'numbers', 'money', 'force', 'population', 'threshold', 'output', 'tax', 'errors', 'water', 'years', 'capacity', 'advantage', 'revenues', 'price', 'amplitude', 'frequency', 'velocity', 'spending', 'roll', 'day', 'striker', 'year']"
stall,"['stall', 'stalled']","['thing', 'batmen', 'progress']"
amass,"['amass', 'amassed']","['wealth', 'megafortune', 'bands', 'legion', 'points', 'm']"
strengthen,"['strengthen', 'strengthens']","['families', 'unity', 'stories', 'ties', 'relationships', 'base', 'potency', 'borders', 'team', 'hold', 'resilience', 'rahm', 'conviction', 'system', 'engagement', 'brand', 'connections', 'ability']"
customize,"['customize', 'customizing']","['quality', 'settings', 'heck', 'offices']"
reach,"['reach', 'reached']","['sources', 'world', 'truth', 'standing', 'stage', 'children', 'level', 'proportions', 'portal', 'end', 'sunlight', 'exit', 'lever', 'flag', 'basket', 'exits', 'point', 'window', 'destination', 'situation', 'abode', 'heavens', 'goal', 'knowledge', 'organization', 'goals', 'aim', 'sort', 'agreement', 'shaft', 'bottom', 'floor', 'shoulders', 'countries', 'settlement', 'networks', 'count', 'reduces', 'number', 'visitors', 'significance', 'limits', 'rates', 'masses', 'women', 'peak', 'target', 'markets', '%', 'rank', 'position', 'someone', 'objective', 'aspirations', 'spot', 'success', 'unrest', 'province', 'heights', 'middle', 'vicinity', 'growth', 'eggs', 'supermarkets', 'people', 'length', 'school', 'summit', 'snowline', 'top', 'bottle', 'line', 'hut', 'question', 'breezes', 'potential', 'altitudes', 'height', 'velocity', 'threshold', 'species', 'ft', 'friend', 'career', 'form', 'temperature', 'millions', 'authors', 'book', 'readers', 'portions', 'age', 'weight', 'climax', 'soul', 'flesh', 'way', 'cats', 'stop', 'levels', 'nations', 'capacity', 'mw', 'gw', 'observations', 'parts', 'increase', 'hands', 'country', 'team', 'governor', 'value', 'light', 'conclusions', 'milestones', 'time', 'years', 'news', 'limit', 'successor', 'emigrants', 'whoever', 'traditions', 'child', 'revolt', 'things', 'arahantship', 'wharf', 'mansion', 'prince', 'ears', 'vanning', 'moment', 'report', 'excellence', 'stock', 'nadir', 'compromise', 'low', 'sample', 'grave', 'tomb', 'depth', 'tidings', 'house', 'teens', 'court', 'total', 'grasp', 'mark', 'endpoint', 'standard', 'innovations', 'results', 'videos', 'viewers', 'conclusion', 'consensus', 'disease', 'agreements', 'state', 'night', 'outskirts', 'plantation', 'recognition', 'data', 'wire', 'morning', 'one', 'trial', 'bombing', 'egg', 'size', 'arms', 'word', 'jewellers', 'management', 'rim', 'edge', 'massif', 'buttress', 'day', 'home', 'benefits', 'date', 'throat', 'decay', 'ocean', 'beach', 'mainstream', 'process', 'shipments', 'suburbs', 'troops', 'soldiers', 'empire', 'broadcasts', 'audiences', 'milestone', 'ceiling', 'shelf', 'arm', 'nerve', 'tension', 'participants', 'doors']"
react,"['react', 'reacts']","['providers', 'person', 'inspector', 'users', 'children', 'atmosphere']"
devalue,"['devalue', 'devalues']","['rulings', 'money', 'ground', 'states', 'citizenship']"
liberate,"['liberate', 'liberates', 'liberated']","['prince', 'humanity', 'people', 'territories', 'man', 'whoever', 'slave', 'forefathers', 'returners', 'hydrogen']"
betray,"['betray', 'betrayed']","['trust', 'tremor', 'nervousness']"
invoke,"['invoke', 'invoked']","['blessings', 'ahl', 'moods', 'states', 'presumption', 'immunity', 'language', 's', 'name', 'interface', 'constructor', 'clause']"
hid,"['hid', 'hiding']","['newborn', 'snipers', 'nervousness', 'shine', 'spots', 'banks', 'losses', 'air', 'people', 'identities', 'turmoil', 'inmates', 'sins']"
stroll,"['stroll', 'strolls']","['bedroom', 'minutes', 'nuns', 'girl']"
investigate,"['investigate', 'investigates', 'investigating']","['pair', 'series', 'subject', 'incident', 'implications', 'killings', 'speed', 'world', 'options', 'nature', 'issue', 'climate', 'protein', 'doctors', 'police', 'matter', 'killing', 'com', 'occurrences', 'panel', 'legality', 'reasons', 'conditions', 'cat', 'intruder', 'ministries', 'records', 'ways', 'body', 'tradition', 'agency', 'half', 'officers', 'death', 'crimes', 'type', 'team', 'shooting', 'complaint', 'people', 'deal', 'case']"
signify,"['signify', 'signifying']","['pisces', 'enjoyments', 'point', 'requirements', 'note', 'end', 'transition']"
dump,"['dump', 'dumped']","['program', 'roster', 'garbage', 'talent', 'companies', 'plan', 'sewage', 'shit', 'remains']"
ridicule,"['ridicule', 'ridiculed']","['move', 'time', 'suggestion', 'propaganda', 'ability']"
visualize,"['visualize', 'visualized']","['event', 'lights']"
succeed,"['succeed', 'succeeded']","['everyone', 'republics', 'weasels', 'companies', 'primogeniture', 'governor', 'father', 'device', 'imran', 'article', 'one', 'claims', 'briefly']"
license,"['license', 'licensed']","['maps', 'technology', 'materials']"
oversee,"['oversee', 'overseeing']","['work', 'auditors', 'reports', 'nations', 'decline', 'pruning', 'trial']"
reside,"['reside', 'resides', 'residing']","['anger', 'family', 'humans', 'seekers', 'grail', 'ability', 'value', 'monk', 'goblins', 'organization']"
sweep,"['sweep', 'sweeping']","['recycle', 'nation', 'floor', 'movement', 'country', 'times', 'staff']"
harbour,"['harbour', 'harbouring']","['resentment', 'feelings', 'plans', 'attackers', 'son', 'grudge', 'rebels']"
rave,"['rave', 'raved']","['reviews', 'players']"
bolster,"['bolster', 'bolstering']","['attack', 'presumption', 'outlook', 'argument', 'finances']"
decline,"['decline', 'declining']","['cookies', 'cost', 'production', 'sages', 'types', 'popularity']"
overlook,"['overlook', 'overlooking']","['lack', 'fact', 'rooms', 'pool', 'instances', 'complexities', 'beach']"
demand,"['demand', 'demanding']","['path', 'sacrifices', 'access', 'end', 'investment', 'rights', 'right', 'say', 'vitriol', 'transparency', 'aid', 'recall', 'conference', 'reform', 'accountability', 'docket', 'participants', 'supplies', 'generation', 'quality', 'service', 'figure']"
heighten,"['heighten', 'heightens']","['authority', 'insanity', 'romance']"
boast,"['boast', 'boasts']","['someone', 'coverage', 'sides', 'performances', 'populations', 'gb', 'collection', 'margin']"
impersonate,"['impersonate', 'impersonating']","['person', 'characters', 'roles']"
rid,"['rid', 'riding']","['craving', 'world', 'body', 'squaring', 'forum', 'country', 'today', 'garments', 'couch']"
advise,"['advise', 'advises', 'advising']","['umma', 'anyone', 'meet', 'recurs', 'doctor', 'dose', 'users', 'state', 'researchers', 'charities', 'people', 'man', 'members', 'label', 'standard', 'applications', 'characters', 'community', 'students', 'charlatan', 'government']"
negotiate,"['negotiate', 'negotiating']","['traps', 'courses', 'issues', 'recognition', 'credits', 'orders', 'terms', 'fees', 'notion', 'return', 'support', 'truce', 'help', 'conditions', 'treaties', 'issue', 'drone', 'rocks', 'ways']"
refute,"['refute', 'refutes', 'refuted']","['slanders', 'verse', 'claim', 'claims', 'history', 'p', 'lies', 'hadith', 'spokesman', 'statement']"
cheer,"['cheer', 'cheering']","['bit', 'victory', 'people', 'crews', 'wags']"
emerge,"['emerge', 'emerges', 'emerged']","['people', 'leader', 'speedsters', 'centers', 'center', 'picture', 'divisions', 'story', 'patterns', 'commission', 'whoever', 'war', 'today', 'head', 'cap', 'morning', 'crescent', 'strain', 'part', 'minister', 'allegations', 'order', 'creation', 'athletes', 'bits', 'literature', 'pair', 'winners', 'facts']"
tweak,"['tweak', 'tweaking']","['mods(racers', 'word', 'organizers', 'details', 'track', 'stuff']"
vindicate,"['vindicate', 'vindicates', 'vindicated']","['act', 'fact', 'point', 'claim', 'faith']"
advocate,"['advocate', 'advocating']","['thing', 'standard', 'demand', 'one', 'spending']"
seperate,"['seperate', 'seperated']","['institutions', 'rest', 'post']"
collect,"['collect', 'collects']","['institutions', 'pleasures', 'items', 'stars', 'fruits', 'coins', 'suns', 'pills', 'candy', 'drops', 'points', 'keys', 'letters', 'voucher', 'information', 'funds', 'compensation', 'eggs', 'water', 'pots', 'people', 'data', 'pastors', 'farthing', 'money', 'semen', 'ones', 'sweat', 'tax', 'rs', 'proposals', 'tariffs', 'unemployment', 'canals', 'crates', 'opportunities', 'possibilities', 'range', 'reports', 'solutions', 'choices', 'measurements', 'balloon', 'members', 'pack', 'c', 'card', 'com', 'plants', 'state', 'year', 'drop', 'photographs', 'blondes', 'bottles', 'rainwater', 'leaves', 'girls', 'pens', 'benefits', 'things', 'bags', 'urine', 'dust', 'bucket', 'tools']"
distrust,"['distrust', 'distrusted']","['people', 'things', 'algorithms', 'presentations']"
entice,"['entice', 'enticing']","['followers', 'customers', 'motivate', 'money', 'batsman', 'something']"
litter,"['litter', 'littering']","['bodies', 'roadside', 'shores']"
vacate,"['vacate', 'vacating']","['house', 'conviction']"
range,"['range', 'ranges', 'ranged']","['maturities', 'months', 'consequences', 'answer', 'people', 'styles', 'acts', 'rates', 'age', 'intervals', 'count', 'incidence', 'seakayaking', 'content', '%', 'costs', 'victims']"
question,"['question', 'questions']","['plenty', 'mandate', 'one', 'time', 'reports', 'beliefs', 'debtor', 'court', 'decision', 'gift', 'religion', 'will', 'theory', 'hypnotism', 'everything', 'rights', 'patriotism', 'accuser', 'policies', 'structures', 'strength', 'hygiene', 'validity', 'numbers', 'expertise', 'manner']"
analyze,"['analyze', 'analyzes', 'analyzing']","['situation', 'event', 'action', 'reasons', 'reflection', 'way', 'coupling', 'moment', 'game', 'photos', 'aspects', 'craft', 'performance', 'waves', 'company', 'events', 'ads', 'behaviors', 'thesis', 'data', 'images']"
plunge,"['plunge', 'plunging']","['rate', 'starts', 'power', 'economy']"
crank,"['crank', 'cranking']","['volume', 'pressure']"
consist,"['consist', 'consisted']","['integration', 'values', 'mask', 'pulses', 'rest', 'applications', 'ethic', 'part', 'gelan', 'program', 'years', 'distortions', 'catastrophizing', 'workers', 'population', 'survey']"
highlight,"['highlight', 'highlighting']","['position', 'items', 'hexagons', 'links', 'similarity', 'dedication', 'clients', 'decade', 'amendment', 'interleaving', 'nature', 'content', 'trends', 'galleries', 'week', 'improvement', 'issue', 'hire', 'issues', 'flaws', 'tracks', 'news', 'changes', 'intricacies']"
rally,"['rally', 'rallying']","['community', 'force', 'idea', 'cries']"
tone,"['tone', 'toned']","['conversations', 'band', 'sound', 'tabs', 'sepia']"
mock,"['mock', 'mocking']","['achievement', 'abdulksaida', 'sadness', 'fact', 'attitudes']"
develope,"['develope', 'developed']","['relationship', 'religions', 'feelings', 'exercise', 'insight', 'knowledge', 'practice', 'concentration', 'qualities', 'method', 'aristocracy', 'roll', 'program', 'game', 'language', 'bewilders', 'communities', 'peoples', 'culture', 'career', 'economy', 'symptoms', 'scientists', 'view', 'strategy', 'teeth', 'science', 'team', 'project', 'spreadsheet', 'activity', 'quiz', 'people', 'technologies', 'left', 'tools', 'sense', 'strain', 'state', 'test', 'categories', 'experience', 'asthma', 'shark', 'range', 'capabilities', 'breeds', 'black', 'bird', 'production', 'relativity', 'systems', 'math', 'disease', 'body', 'idea', 'framework', 'mould', 'inhibitors', 'parts', 'bond', 'knack', 'city', 'students', 'website', 'projects', 'care', 'campaigns', 'battle', 'fields', 'reputation', 'style', 'lot', 'kinds', 'instructions', 'versions', 'curriculum', 'fascination', 'series', 'tutor2u', 'web', 'cat', 'understanding', 'services', 'facilities', 'skills', 'system', 'hybrids', 'number']"
inflame,"['inflame', 'inflamed']","['airways', 'heart']"
scroll,"['scroll', 'scrolling']","['pages', 'parallax']"
wrestle,"['wrestle', 'wrestles']","['anyone', 'arm']"
overlap,"['overlap', 'overlaps']","['civilizations', 'set', 'patterns', 'b', 'borders', 'bit', 'servers', 'outsider']"
uphold,"['uphold', 'upholds']","['ideals', 'approach', 'constitution', 'grant']"
breach,"['breach', 'breaching']","['confidence', 'rights', 'measures', 'code', 'rules', 'order', 'peace']"
include,"['include', 'includes', 'included']","['side', 'conflict', 'bundle', 'clothing', 'techniques', 'relatives', 'girl', 'picture', 'words', 'points', 'beach', 'rates', 'treatment', 'bowlers', 'authors', 'keywords', 'remixes', 'buzz', 'programme', 'discussion', 'specialisms', 'chemical', 'examples', 'forms', 'organisations', 'weapons', 'horns', 'financiers', 'com', 'facts', 'capybara', 'logos', 'strategies', 'study', 'rounds', 'hats', 'role', 'leadership', 'movie', 'actors', 'equipment', 'treatments', 'triggers', 'urticaria', 'types', 'features', 'liability', 'banks', 'shareholders', 'sadness', 'effects', 'disturbance', 'mind', 'benefits', 'uplifts', 'increment', 'costs', 'portfolio', 'ministers', 'angina', 'factors', 'things', 'complications', 'wallpaper', 'eye', 'acrylic', 'emissions', 'set', 'songs', 'number', 'difficulty', 'file', 'service', 'directorships', 'failure', 'payment', 'amounts', 'scientists', 'coins', 'options', 'coder', 'report', 'capabilities', 'expertise', 'person', 'delay', 'requirements', 'time', 'illness', 'id', 'genres', 'selection', 'st', 'nations', 'plaques', 'operators', 'women', 'definition', 'businessmen', 'steps', 'models', 'licensing', 'areas', 'focus', 'computers', 'systems', 'chicken', 'sources', 'beans', 'findings', 'information', 'limits', 'protections', 'schedule', 'practices', 'instructing', 'buses', 'scarcity', 'symptoms', 'thirst', 'history', 'devices', 'vendors', 'product', 'sun', 'activities', 'series', 'teams', 'projects', 'case', 'fascinator', 'documents', 'hits', 'everything', 'title', 'improvements', 'caching', 'interests', 'engines', 'structure', 'reports', 'authorizes', 'use', 'link', '//mexfiles', 'unions', 'rights', 'life', 'option', 'means', 'killing', 'members', 'population', 'people', 'transition', 'establishment', 'education', 'experiences', 'work', 'aspects', 'tables', 'beds', 'air', 'groups', 'residents', 'goods', 'plastics', 'lands', 'posts', 'questions', 'tortoises', 'period', 'bedrooms', 'loft', 'interfaces', 'html', 'schemes', 'characters', 'header', 'attribute', 'considerations', 'offences', 'agreement', 'rents', 'expenses', 'definitions', 'foods', 'salads', 'choices', 'range', 'plants', 'today', 'membership', 'ground', 'kind', 'quotation', 'estimates', 'transparency', 'methods', 'fees', 'instruction', 'pieces', 'lactose', 'goodies', 'content', 'price', 'tax', 'fact', 'men', 'villages', 'banking', 'tissue', 'septums', 'shortages', 'consideration', 'loss', 'roads', 'applications', 'matters', 'responsibilities', 'marble', 'rash', 'glands', 'card', 'tickets', 'memberships', 'directions', 'obligation', 'statistics', 'employment', 'winds', 'convection', 'nsaids', 'aspirin', 'enzymes', 'ulcers', 'suggestions', 'reference', 'figures', 'countries', 'credits', 'situations', 'limitations', 'problems', 'message', 'conditions', 'sessions', 'plan', 'accomplishments', 'names', 'boab', 'services', 'access', 'mail', 'mishaps', 'lights', 'walkway', 'spots', 'taglines', 'nothing', 'assessments', 'exhibition', 'paintings', 'tasks', 'management', 'response', 'water', 'programmes', 'provision', 'building', 'training', 'functions', 'planning', 'deaths', 'items', 'newspapers', 'authorities', 'images', 'phoenix', 'night', 'freedoms', 'url', 'arbitrators', 'objectives', 'promotion', 'virus', 'inability', 'postage', 'experience', 'iconography', 'seat', 'recipes', 'photos', 'likes', 'room', 'basement', 'anything', 'element', 'changes', 'adoption', 'intervention', 'inspection', 'variety', 'amenities', 'showers', 'legislation', 'provisions', 'partners', 'serials', 'count', 'seconds', 'sequences', 'aids', 'pictures', 'versions', 'tracks', 'programs', 'updates', 'kinds', 'returners', 'facility', 'shop', 'awareness', 'parliament', 'synagogues', 'czars', 'government', 'philosophy', 'securities', 'legend', 'statement', 'prospectus', 'documentary', 'footage', 'legacy', 'pursuit', 'corporation', 'corporations', 'periods', 'win', 'communications', 'discharge', 'metals', 'causes', 'expert', 'wages', 'status', 'hitlist', 'position', 'trees', 'elements', 'percent', 'cavalcade', 'allegories', 'interludes', 'love', 'east', 'premiums', 'name', 'race', 'entrants', 'hebrew', 'meaning', 'list', 'cases', 'exercise', 'attributes', 'scenarios', 'modifications', 'statute', 'guys', 'sausage', 'package', 'anniversary', 'section', 'details', 'bonds', 'arrangements', 'procedures', 'family', 'medications', 'regimes', 'diet', 'house', 'laziness', 'song', 'lyrics', 'concept', 'woman', 'copy', 'copyright', 'materials', 'record', 'page', 'passage', 'meals', 'savings', 'center', 'website', 'forum', 'performers', 'development', 'housing', 'butts', 'counties', 'instructions', 'possibility', 'metres', 'silt', 'media', 'anyone', 'category', 'fractions', 'dates', 'culvert', 'gospel', 'reform', 'property', 'recessions', 'event', 'table', 'units', 'kamma', 'practice', 'satta', 'abodes', 'acts', 'electricity', 'parts', 'articles', 'plucking', 'herein', 'financing', 'lunch', 'incidence', 'neoplasia', 'material', 'value', 'artwork', 'regiment', 'industries', 'scores', 'rudiments', 'beginning', 'presenters', 'force', 'accounting', 'vines', 'apps', 'excerpt', 'season', 'productions', 'topics', 'buildings', 'weekend', 'optimizations', 'call', 'style', 'start', 'escalation', 'exports', 'products', 'artists', 'flotilla', 'question', 'text', 'afforestation', 'credit', 'eg', 'persons', 'suggestion', 'cave', 'reflectance', 'column', 'poll', 'locals', 'tribes', 'inhabitants', 'lair', 'brokers', 'increases', 'issues', 'relationship', 'requirement', 'band', 'rarities', 'performance', 'line', '20th', 'owner', 'politicians', 'drop', 'dementia', 'introduction', 'sexuality', 'anger', 'fleet', 'destroyers', 'agencies', 'publishing', 'killers', 'taste', 'engagements', 'detail', 'years', 'gratuities', 'trip', 'children', 'template', 'system', 'domain', 'supporters', 'funder']"
spoon,"['spoon', 'spooning']","['nobody', 'egg', 'batter']"
redistribute,"['redistribute', 'redistributing']","['wealth', 'cost', 'dollars']"
plead,"['plead', 'pleaded']","['crawl', 'spirit', 'wife']"
protrude,"['protrude', 'protrudes']","['eyes', 'rock']"
embezzle,"['embezzle', 'embezzled']","['revenues', 'ambassador', 'pounds']"
showcase,"['showcase', 'showcases', 'showcasing']","['views', 'image', 'exhibition', 'collectors', 'benefits', 'boutique', 'materials', 'works', 'work', 'accents', 'packs', 'capability']"
relocate,"['relocate', 'relocated']","['teams', 'league', 'individuals', 'people', 'residences', 'stadium']"
explore,"['explore', 'explores', 'exploring']","['bottom', 'maze', 'option', 'areas', 'knight', 'castle', 'interior', 'breakfast', 'island', 'options', '%', 'solution', 'tk', 'opportunities', 'issues', 'markets', 'lips', 'idea', 'world', 'look', 'book', 'topics', 'resources', 'artists', 'questions', 'spaces', 'traditions', 'space', 'alleys', 'effects', 'shades', 'view', 'land', 'genres', 'consequences', 'range', 'technologies', 'rationale', 'processes', 'relationships', 'theme', 'words', 'work', 'ideas', 'thriller', 'method', 'nature', 'interrupts', 'relationship', 'growth', 'resurgence', 'value', 'bonds', 'home', 'stuff', 'prospects', 'history', 'contacts', 'bazaar', 'parties', 'methods', 'language', 'lots', 'possibilities', 'temples', 'differences', 'coast', 'scenery', 'property', 'subjects', 'waters', 'childhood', 'structure', 'question', 'intensity', 'beliefs', 'city', 'town']"
duck,"['duck', 'ducking']","['questions', 'law']"
apply,"['apply', 'applying']","['others', 'imagination', 'sense', 'riders', 'majority', 'aspect', 'sections', 'rules', 'none', 'people', 'dedication', 'practise', 'figures', 'creditor', 'provisions', 'lease', 'stem', 'bands', 'talents', 'thinking', 'skills', 'subsection', 'reasoning', 'r', 'package', 'applicants', 'visa', 'rights', 'fee', 'techniques', 'analysis', 'principles', 'rule', 'members', 'analogy', 'results', 'arguments', 'care', 'knowledge', 'criticism', 'set', 'flea', 'materials', 'creditors', 'verifying', 'details', 'duties', 'accusation', 'scrutiny', 'terms', 'offences', 'companies', 'website', 'theory', 'constraints', 'levers', 'area', 'petroleum', 'times', 'toughness', 'information', 'parents', 'person', 'time', 'legislation', 'document', 'idea', 'discount', 'student', 'days', 'party', 'policies', 'type', 'surmah', 'ideas', 'guideline', 'words', 'answer', 'twice', 'sanctions', 'strategies', 'hinges', 'force', 'indicators', 'torch', 'guitar', 'expertise', 'services']"
